feature,coefficient,abs_coeff
exang,-0.5001689390968188,0.5001689390968188
chol,-0.4854779176802148,0.4854779176802148
sex,0.29046051123848077,0.29046051123848077
cp,0.2511828633311808,0.2511828633311808
restecg,-0.1998391718848489,0.1998391718848489
oldpeak,0.19514031255873993,0.19514031255873993
thalach,0.19162770559087375,0.19162770559087375
trestbps,0.13954202994815434,0.13954202994815434
age,-0.13409685641375585,0.13409685641375585
thal,-0.06598036897286651,0.06598036897286651
fbs,0.0659803689728665,0.0659803689728665
slope,-0.0659803689728665,0.0659803689728665
ca,0.0,0.0
